Entity,Code,Year,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging,food_emissions_losses,time,time,time,time,time,time,time,time
Olive Oil,,2018,,63.87985784532872,0,9.866624200055927,7.203789721284957,0.6840384878769297,12.874818602772557,5.490871142680905,2018,2018,2018,2018,2018,2018,2018,2018
Onions & Leeks,,2018,0.9680615062797826,42.48282879582208,0,0,19.079896407112912,7.901091857344694,9.015359885935483,20.552761547505074,2018,2018,2018,2018,2018,2018,2018,2018
Other Fruit,,2018,12.066973000716628,35.39095183317587,0,1.4778232876074953,17.398679250070295,1.560878266936042,3.985858292123417,28.118836069370268,2018,2018,2018,2018,2018,2018,2018,2018
Other Pulses,,2018,1.8642424311553396,60.94532180314776,0,0,5.383904484792323,2.2012322897283645,19.77351169600868,9.831787295167539,2018,2018,2018,2018,2018,2018,2018,2018
Other Vegetables,,2018,0.2218407887810123,33.10449694513425,0,11.350667725410796,31.10827616228785,2.844053157726363,7.8447299305769675,13.525935290082778,2018,2018,2018,2018,2018,2018,2018,2018
Palm Oil,,2018,37.66122062508707,25.627863519758485,0,15.380087964718946,2.53003518665923,0.5294367786588439,10.77125555262377,7.500100372493672,2018,2018,2018,2018,2018,2018,2018,2018
Peas,,2018,0.012181245466831345,73.54876436372716,0,0,9.749661524757336,4.0327282909998745,4.59674486686729,8.059919708181512,2018,2018,2018,2018,2018,2018,2018,2018
Pig Meat,,2018,18.236036997393896,20.129706858072975,34.93082602977328,3.3792669960769337,4.073434320846985,2.259899272501738,3.5129001851625077,13.477929340171666,2018,2018,2018,2018,2018,2018,2018,2018
Potatoes,,2018,,41.84283232043744,0,0,20.341819207834796,8.504412620067388,9.654231495037807,19.656704356622573,2018,2018,2018,2018,2018,2018,2018,2018
Poultry Meat,,2018,35.561438452351496,9.404403208452653,24.857093791367525,6.156330700592505,3.862610120468979,2.4729471775485212,2.9668317008014466,14.71834484841688,2018,2018,2018,2018,2018,2018,2018,2018
Rapeseed Oil,,2018,5.190864022186477,57.24037986080942,0,4.7210924172365285,4.648683391926929,1.1291025154791645,20.61319746453521,6.456680327826289,2018,2018,2018,2018,2018,2018,2018,2018
Rice,,2018,,79.44413528074891,0,1.4579113592354465,2.137444273422804,1.4163807138408047,1.8744477827071706,13.669680590044864,2018,2018,2018,2018,2018,2018,2018,2018
Root Vegetables,,2018,3.140970802121956,36.12508441721527,0,0,26.688946902237525,9.114949837917937,10.47718294245403,14.452865098053273,2018,2018,2018,2018,2018,2018,2018,2018
Shrimps (farmed),,2018,1.2304204859213286,50.07834242478616,15.00022041131322,0,1.2314944026871695,1.3115570960955716,1.9956452174695918,29.152319961726963,2018,2018,2018,2018,2018,2018,2018,2018
Soy milk,,2018,18.455258651330087,9.512923314102059,0,16.664538459427053,11.263078241788461,27.704908289810415,10.089962926022476,6.309330117519442,2018,2018,2018,2018,2018,2018,2018,2018
Soybean Oil,,2018,45.31894626119194,22.23575425670282,0,4.550195445350063,4.379026787740048,0.6230205145461735,12.428998164328675,10.464058570140267,2018,2018,2018,2018,2018,2018,2018,2018
Sunflower Oil,,2018,3.4010763000911575,54.907343305914175,0,5.854026661054075,5.126916629573445,1.0924461524733693,21.79384326445748,7.824347686436289,2018,2018,2018,2018,2018,2018,2018,2018
Tofu,,2018,30.306991887760656,15.646472880670693,0,25.109066779482113,5.595812684363953,8.545045365860936,5.609579768299299,9.187030633562342,2018,2018,2018,2018,2018,2018,2018,2018
Tomatoes,,2018,17.85733119139222,33.77433543917157,0,0.5927857782403629,8.479447009757338,0.7991323702657519,6.974237509670788,31.52273070150198,2018,2018,2018,2018,2018,2018,2018,2018
Wheat & Rye,,2018,6.171597702657379,52.12149778999648,0,13.35148632270361,7.970462496647249,3.5613323579818448,5.517708822646729,11.305914507366703,2018,2018,2018,2018,2018,2018,2018,2018
Wine,,2018,,33.83879757815292,0,7.493209406343565,5.042312160556093,2.1255020178404074,40.49840737173492,11.001771465372093,2018,2018,2018,2018,2018,2018,2018,2018
